Name: Sub-Delta Drift, Freq: 0.6, Mode: subdelta
Name: Sub-Delta Deep, Freq: 0.9, Mode: subdelta
Name: Delta Sleep Deep, Freq: 1.2, Mode: sleep
Name: Delta Dream Drift, Freq: 3.4, Mode: sleep
Name: Theta Restore, Freq: 4.5, Mode: theta
Name: Theta Calm, Freq: 6, Mode: theta
Name: Schumann Resonance, Freq: 7.83, Mode: theta
Name: Alpha Ease, Freq: 9, Mode: relax
Name: Alpha Centering, Freq: 10, Mode: relax
Name: SMR Focus, Freq: 14, Mode: beta
Name: Beta Focus, Freq: 16, Mode: beta
Name: High Beta Drive, Freq: 20, Mode: beta
Name: Gamma Spark, Freq: 40, Mode: gamma
Name: Gamma Peak, Freq: 41.6, Mode: gamma
Name: High Gamma Clarity, Freq: 80, Mode: highgamma
Name: Epsilon Stillness, Freq: 0.2, Mode: subdelta
Name: Focus Flow, Freq: 12, Mode: beta
Name: Deep Restoration, Freq: 1.5, Mode: sleep
Name: Memory Boost, Freq: 10.2, Mode: relax
Name: Creativity Burst, Freq: 7.83, Mode: theta
Name: Alertness, Freq: 18, Mode: beta
Name: Profound Relaxation, Freq: 0.5, Mode: subdelta
Name: Sleep Cycle Entry, Freq: 1.5, Mode: sleep
Name: Emotional Release, Freq: 3.5, Mode: delta
Name: Introspection, Freq: 4.2, Mode: theta
Name: Visualization, Freq: 5.8, Mode: theta
Name: Pre-Sleep Calm, Freq: 7.2, Mode: theta
Name: Stress Relief, Freq: 8.3, Mode: relax
Name: Mental Stability, Freq: 11, Mode: relax
Name: Active Focus, Freq: 13.5, Mode: beta
Name: Calculation, Freq: 17, Mode: beta
Name: Performance, Freq: 23, Mode: beta
Name: High Level Processing, Freq: 32, Mode: gamma
Name: Perception Binding, Freq: 42, Mode: gamma
Name: Hyper Gamma, Freq: 100, Mode: highgamma
Name: Lambda State, Freq: 200, Mode: highgamma
Name: Energy Boost 1, Freq: 18, Mode: beta
Name: Energy Boost 2, Freq: 18.4, Mode: beta
Name: Energy Boost 3, Freq: 18.8, Mode: beta
Name: Energy Boost 4, Freq: 19.2, Mode: beta
Name: Energy Boost 5, Freq: 19.6, Mode: beta
Name: Energy Boost 6, Freq: 20, Mode: beta
Name: Energy Boost 7, Freq: 20.4, Mode: beta
Name: Energy Boost 8, Freq: 20.8, Mode: beta
Name: Energy Boost 9, Freq: 21.2, Mode: beta
Name: Energy Boost 10, Freq: 21.6, Mode: beta
Name: Energy Boost 11, Freq: 22, Mode: beta
Name: Energy Boost 12, Freq: 22.4, Mode: beta
Name: Energy Boost 13, Freq: 22.8, Mode: beta
Name: Energy Boost 14, Freq: 23.2, Mode: beta
Name: Energy Boost 15, Freq: 23.6, Mode: beta
Name: Energy Boost 16, Freq: 24, Mode: beta
Name: Energy Boost 17, Freq: 24.4, Mode: beta
Name: Energy Boost 18, Freq: 24.8, Mode: beta
Name: Energy Boost 19, Freq: 25.2, Mode: beta
Name: Energy Boost 20, Freq: 25.6, Mode: beta
Name: Energy Boost 21, Freq: 26, Mode: beta
Name: Energy Boost 22, Freq: 26.4, Mode: beta
Name: Energy Boost 23, Freq: 26.8, Mode: beta
Name: Energy Boost 24, Freq: 27.2, Mode: beta
Name: Energy Boost 25, Freq: 27.6, Mode: beta
Name: Energy Boost 26, Freq: 28, Mode: beta
Name: Energy Boost 27, Freq: 28.4, Mode: beta
Name: Energy Boost 28, Freq: 28.8, Mode: beta
Name: Energy Boost 29, Freq: 29.2, Mode: beta
Name: Energy Boost 30, Freq: 29.6, Mode: beta
Name: Energy Boost 31, Freq: 30, Mode: gamma
Name: Energy Boost 32, Freq: 30.4, Mode: gamma
Name: Energy Boost 33, Freq: 30.8, Mode: gamma
Name: Energy Boost 34, Freq: 31.2, Mode: gamma
Name: Energy Boost 35, Freq: 31.6, Mode: gamma
Name: Energy Boost 36, Freq: 32, Mode: gamma
Name: Energy Boost 37, Freq: 32.4, Mode: gamma
Name: Energy Boost 38, Freq: 32.8, Mode: gamma
Name: Energy Boost 39, Freq: 33.2, Mode: gamma
Name: Energy Boost 40, Freq: 33.6, Mode: gamma
Name: Energy Boost 41, Freq: 34, Mode: gamma
Name: Energy Boost 42, Freq: 34.4, Mode: gamma
Name: Energy Boost 43, Freq: 34.8, Mode: gamma
Name: Energy Boost 44, Freq: 35.2, Mode: gamma
Name: Energy Boost 45, Freq: 35.6, Mode: gamma
Name: Energy Boost 46, Freq: 36, Mode: gamma
Name: Energy Boost 47, Freq: 36.4, Mode: gamma
